HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
1780,460,520,358,226,105,111,2022-11-13-11-38
1788,459,501,306,268,139,115,2022-11-13-11-51
1751,462,489,277,277,150,96,2022-11-13-12-05
1749,460,485,265,295,146,98,2022-11-13-12-18
1756,454,500,313,259,134,96,2022-11-13-12-31
1659,259,748,433,47,60,112,2022-11-13-15-04
1643,253,746,417,52,56,119,2022-11-13-15-16
1637,255,724,405,69,84,100,2022-11-13-15-28
1665,282,700,371,93,112,107,2022-11-13-15-40
1637,297,671,358,79,119,113,2022-11-13-15-52
1662,290,655,348,110,146,113,2022-11-13-16-05
1653,330,635,300,120,154,114,2022-11-13-16-17
1679,332,645,277,137,167,121,2022-11-13-16-30
1747,330,639,301,143,227,107,2022-11-13-16-43
1642,308,680,224,132,170,128,2022-11-13-18-05
1580,250,768,232,71,127,132,2022-11-13-18-16
1589,245,783,294,77,84,106,2022-11-13-18-28
1561,235,779,303,63,73,108,2022-11-13-18-38
1566,218,778,307,107,51,105,2022-11-13-18-49
1586,218,782,342,71,70,103,2022-11-13-19-00
1590,237,771,351,66,57,108,2022-11-13-19-10
1606,229,772,337,73,88,107,2022-11-13-19-21
1696,242,782,339,105,123,105,2022-11-13-19-33
1687,270,769,339,87,118,104,2022-11-13-19-44
1740,307,781,335,84,130,103,2022-11-13-19-56
1770,337,742,333,98,157,103,2022-11-13-20-09
1791,406,634,296,154,198,103,2022-11-13-20-21
1843,478,588,274,171,224,108,2022-11-13-20-34
1756,529,399,234,225,260,109,2022-11-13-20-45
1732,581,265,243,265,267,111,2022-11-13-20-56
1737,586,214,234,320,274,109,2022-11-13-21-07
1740,582,192,241,325,293,107,2022-11-13-21-18
1509,421,143,225,238,277,101,2022-11-13-21-37
1526,399,154,228,257,285,97,2022-11-13-21-43
1463,398,128,221,242,267,100,2022-11-13-21-49
1481,404,128,235,251,267,95,2022-11-13-21-53
1250,253,125,222,177,282,91,2022-11-13-21-59
1357,263,123,234,208,331,98,2022-11-13-22-05
1297,257,110,206,212,321,96,2022-11-13-22-14
2175,549,109,208,511,380,96,2022-11-13-22-21
2097,610,101,211,439,357,94,2022-11-13-22-29
2293,648,97,221,509,402,93,2022-11-13-22-37
2317,651,91,219,529,412,91,2022-11-13-22-54
2360,646,96,222,546,435,89,2022-11-13-23-08
2254,652,92,211,449,434,89,2022-11-13-23-22
2383,653,91,211,570,441,91,2022-11-13-23-32
2310,643,88,211,541,438,91,2022-11-13-23-41
2378,647,88,211,571,442,91,2022-11-13-23-51
2341,640,88,211,556,435,91,2022-11-14-00-00
2365,648,89,210,569,433,92,2022-11-14-00-18
2255,221,1051,470,101,201,55,2022-11-14-07-57
2246,159,1288,578,20,30,49,2022-11-14-08-10
2319,87,1395,616,24,34,44,2022-11-14-08-21
2370,41,1527,614,5,24,40,2022-11-14-08-30
2250,53,1436,603,6,16,39,2022-11-14-08-39
2359,84,1516,617,4,49,39,2022-11-14-08-51
2325,52,1543,597,34,11,38,2022-11-14-08-59
2404,58,1607,604,31,12,40,2022-11-14-09-12
2378,49,1639,564,29,10,37,2022-11-14-09-21
2414,54,1662,579,64,15,33,2022-11-14-09-32
2366,47,1709,552,12,9,32,2022-11-14-09-41
2524,853,471,268,511,341,58,2022-11-14-12-26
2528,872,378,297,554,349,59,2022-11-14-12-44
2434,858,369,288,542,293,64,2022-11-14-12-53
2396,753,442,388,521,211,60,2022-11-14-13-08
2249,216,1053,643,204,67,55,2022-11-14-13-27
2051,161,1176,531,99,32,46,2022-11-14-15-17
2181,192,1199,534,121,75,50,2022-11-14-15-29
2258,214,1178,526,145,134,50,2022-11-14-15-38
2367,245,1177,525,190,169,50,2022-11-14-15-47
2369,265,1107,530,192,206,57,2022-11-14-15-59
2380,319,1034,442,223,290,61,2022-11-14-16-09
2240,860,396,167,352,386,63,2022-11-14-17-28
2222,911,353,159,373,343,67,2022-11-14-17-40
2215,924,364,197,340,309,69,2022-11-14-17-50
2136,868,400,207,307,271,72,2022-11-14-18-02
2096,716,619,307,211,152,78,2022-11-14-18-15
2061,416,979,382,107,72,98,2022-11-14-18-24
2155,400,1101,402,104,44,98,2022-11-14-18-33
2524,796,602,414,355,230,113,2022-11-14-21-00
2529,809,558,407,305,320,115,2022-11-14-21-09
2401,830,463,392,245,343,111,2022-11-14-21-29
2407,822,447,376,251,384,109,2022-11-14-21-37
2570,835,407,352,436,413,107,2022-11-14-21-47
2511,878,374,333,369,432,107,2022-11-14-21-57
2603,882,358,313,448,479,105,2022-11-14-22-08
2642,912,325,300,480,503,104,2022-11-14-22-17
2619,909,314,292,466,524,96,2022-11-14-22-26
2547,872,307,293,455,508,94,2022-11-14-22-34
2591,906,301,290,486,498,92,2022-11-14-22-44
2584,927,286,291,526,446,91,2022-11-14-22-55
2613,944,286,290,546,437,93,2022-11-14-23-05
2632,931,285,290,523,492,94,2022-11-14-23-16
2625,952,304,289,547,420,95,2022-11-14-23-25
2584,947,298,288,474,463,96,2022-11-14-23-35
2627,952,310,293,548,408,97,2022-11-14-23-45
