HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4943,1227,896,220,1077,121,641,963,132,7,2023-02-22-13-12
4815,755,1372,235,1384,125,439,726,136,3,2023-02-22-14-13
4826,778,1360,242,1363,123,501,706,115,3,2023-02-22-14-43
4658,712,1377,261,1250,119,531,667,117,4,2023-02-22-15-10
4704,801,1264,260,1211,119,620,690,109,9,2023-02-22-15-45
4709,955,955,224,1124,123,763,782,118,12,2023-02-22-16-19
4672,1029,907,251,968,126,805,829,119,15,2023-02-22-16-53
4999,1165,846,249,1043,132,870,920,136,19,2023-02-22-17-49
4240,1041,720,146,919,135,568,823,152,17,2023-02-22-18-14
4654,1018,819,206,1063,133,765,820,149,20,2023-02-22-18-42
4642,1020,803,198,986,132,747,904,164,18,2023-02-22-19-08
4779,1068,838,252,1056,133,790,857,150,20,2023-02-22-19-53
4764,1106,819,260,971,117,789,911,147,21,2023-02-22-20-20
4887,1146,757,243,1049,129,830,963,119,23,2023-02-22-20-47
4479,1130,710,228,991,126,563,940,123,22,2023-02-22-21-09
4760,1199,641,209,1008,119,785,986,122,19,2023-02-22-21-35
4614,1193,594,200,1021,121,704,958,126,18,2023-02-22-22-01
4302,1144,540,190,940,119,476,1059,124,19,2023-02-22-22-23
4403,1015,819,236,1075,122,528,850,99,17,2023-02-23-08-25
4776,712,1551,420,1219,122,435,754,100,5,2023-02-23-08-59
4872,727,1675,430,1255,121,439,677,97,2,2023-02-23-09-25
4893,685,1708,443,1261,117,477,669,91,2,2023-02-23-09-56
4698,671,1655,367,1271,119,464,547,87,3,2023-02-23-10-25
4779,842,1325,348,1160,139,586,766,94,6,2023-02-23-10-57
4907,1265,921,318,1003,131,688,907,106,17,2023-02-23-11-32
4909,1338,866,312,1012,124,692,879,103,19,2023-02-23-12-08
4743,1129,855,292,1063,123,729,835,114,18,2023-02-23-12-39
4857,1173,941,306,1071,143,743,803,108,18,2023-02-23-13-06
4936,891,1570,441,1260,134,462,639,101,13,2023-02-23-13-52
4916,752,1766,475,1274,129,397,616,100,11,2023-02-23-14-19
4886,766,1731,469,1232,125,418,629,98,12,2023-02-23-14-47
4962,865,1721,468,1235,126,419,611,101,10,2023-02-23-15-20
4789,997,1250,311,1013,129,631,770,118,10,2023-02-23-16-14
4409,1078,972,291,1020,131,421,801,102,15,2023-02-23-16-37
4687,1138,953,287,953,134,674,842,111,16,2023-02-23-16-50
4459,1098,999,327,909,132,510,793,132,18,2023-02-23-17-20
4584,1138,959,295,918,127,642,771,138,18,2023-02-23-17-31
4893,1153,980,314,917,128,820,872,137,14,2023-02-23-17-45
4819,1119,976,317,911,127,864,787,148,14,2023-02-23-18-01
4783,1112,945,298,906,127,879,772,154,15,2023-02-23-18-14
4756,1086,953,299,928,125,837,776,161,15,2023-02-23-18-27
4849,1153,967,300,928,127,835,787,166,13,2023-02-23-18-39
4755,1151,904,278,887,125,828,826,147,12,2023-02-23-18-50
4881,1142,924,304,966,140,854,843,140,12,2023-02-23-19-06
4939,1215,904,295,975,139,839,854,142,10,2023-02-23-19-18
4917,1210,892,285,968,141,825,862,147,13,2023-02-23-19-39
4914,1214,860,281,960,143,843,882,142,13,2023-02-23-19-52
4844,1240,833,279,934,140,816,869,137,15,2023-02-23-20-04
4881,1222,816,280,1002,137,843,849,134,15,2023-02-23-20-18
4890,1252,790,269,976,128,883,838,135,16,2023-02-23-20-32
4477,1085,770,257,926,129,657,893,130,16,2023-02-23-20-42
4752,1217,787,261,902,123,835,866,128,17,2023-02-23-20-53
4896,1255,796,257,927,121,891,883,127,17,2023-02-23-21-05
4752,1212,778,253,854,118,865,897,128,18,2023-02-23-21-17
4884,1233,760,247,921,117,892,935,127,16,2023-02-23-21-30
4391,1084,693,212,911,116,654,905,127,17,2023-02-23-21-41
4499,1177,699,240,941,118,633,905,127,17,2023-02-23-21-53
4813,1240,669,227,932,119,824,1007,125,16,2023-02-23-22-05
4836,1252,636,227,920,120,901,987,124,16,2023-02-23-22-17
4833,1239,621,227,914,117,895,1024,125,15,2023-02-23-22-29
4686,1222,616,218,924,116,845,939,125,15,2023-02-23-22-58
4655,1234,604,216,925,117,760,990,126,16,2023-02-23-23-13
4821,1245,603,218,925,119,895,1011,126,16,2023-02-23-23-28
4270,1080,572,194,925,119,616,931,128,18,2023-02-23-23-47
4814,1218,595,215,918,118,882,1055,128,18,2023-02-24-00-01
4601,1224,590,211,864,118,717,1055,135,16,2023-02-24-06-10
4606,1193,593,211,903,119,709,1059,133,16,2023-02-24-06-22
4720,1242,593,211,876,119,831,1030,132,16,2023-02-24-06-32
4290,1154,593,211,873,120,473,1050,132,15,2023-02-24-06-42
4202,1139,595,211,860,120,513,948,132,15,2023-02-24-06-52
4714,1223,597,212,911,120,802,1034,132,15,2023-02-24-07-04
4653,1203,611,215,853,119,814,1027,128,17,2023-02-24-07-16
4163,1078,602,201,880,119,536,923,128,16,2023-02-24-07-25
